#OTU ID	OTU_8	OTU_1	OTU_5	OTU_2	OTU_6	OTU_11	OTU_4	OTU_71	OTU_69	OTU_12	OTU_14	OTU_3	OTU_27	OTU_10	OTU_66	OTU_19	OTU_7	OTU_9	OTU_70	OTU_25	OTU_16	OTU_52	OTU_23	OTU_45	OTU_21	OTU_50	OTU_36	OTU_13	OTU_20	OTU_31	OTU_15	OTU_51	OTU_33	OTU_49	OTU_53	OTU_26	OTU_34	OTU_18	OTU_22	OTU_17	OTU_42	OTU_24	OTU_40	OTU_65	OTU_32	OTU_37	OTU_44	OTU_28	OTU_35	OTU_46	OTU_61
153	0.0528779157831	0.264207815813	0.101211754014	0.306619206301	0.0676461678279	0.0467585580127	0.144092699182	0.0098606482884	0.00537715843684	0.000711905483187	1.51469251742e-05	0.000257497727961	0.000212056952439	1.51469251742e-05	1.51469251742e-05	1.51469251742e-05	6.05877006968e-05	3.02938503484e-05	1.51469251742e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
154	0.0353104125392	0.230902747339	0.139540999702	0.32286059926	0.0797903115522	0.0280870312253	0.128267615758	0.0156565036731	0.00739870610306	0.0083629924435	1.75324789172e-05	0.000140259831338	0.00354156074127	1.75324789172e-05	0.0	0.0	0.0	8.7662394586e-05	0.0	1.75324789172e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
155	0.0600856261906	0.269172607475	0.124550757085	0.218808303384	0.0893085095937	0.0307940061667	0.170172234333	0.00897503878709	0.00543019305171	0.0185981657142	0.0	0.000206209862723	0.00374123608083	0.0	9.81951727253e-06	9.81951727253e-06	3.92780690901e-05	6.87366209077e-05	0.0	0.0	1.96390345451e-05	9.81951727253e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
156	0.0829196578586	0.290271307469	0.110394073622	0.243971475485	0.0723327478234	0.00647720329922	0.170426340309	0.0132551168474	0.00838170154269	0.000859172139911	0.0	5.25049641057e-05	0.000606193676493	0.0	9.54635711013e-06	4.77317855506e-06	4.77317855506e-06	1.43195356652e-05	0.0	0.0	0.0	0.0	4.77317855506e-06	9.54635711013e-06	4.77317855506e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
157	0.0414101469465	0.236507437199	0.141486541141	0.349975284231	0.0546218487395	0.0471621803802	0.109221228598	0.00736979283692	0.00451624500067	0.00537006246349	0.0	0.000359502089606	0.00157282164203	0.0	2.24688806004e-05	6.74066418011e-05	6.74066418011e-05	6.74066418011e-05	0.0	0.0	0.0	0.0	0.0	6.74066418011e-05	2.24688806004e-05	2.24688806004e-05	2.24688806004e-05	6.74066418011e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
163	0.000219582655715	0.387268323143	0.0908248759701	0.000603852303216	0.0291290116722	2.05858739733e-05	0.046201563154	0.00279967886037	0.00287516039827	0.0	0.0072393656806	0.278355325909	6.86195799109e-06	0.0564052946868	6.86195799109e-06	6.86195799109e-06	0.0	0.0979956220708	0.0	0.0	2.74478319644e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.86195799109e-06	6.86195799109e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
179	0.0915650741351	0.272454695222	0.0412520593081	0.000263591433278	0.0346128500824	0.0	0.0871993410214	0.00621087314662	0.00504118616145	3.29489291598e-05	0.000510708401977	0.220345963756	0.0	0.0117133443163	0.0	0.0	0.181202635914	0.0397034596376	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00787479406919	1.64744645799e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
180	0.0862756832236	0.327365516324	0.0558880244697	0.00023272823991	0.0335461134384	0.0	0.0723452357205	0.00578495910632	0.00500365715806	0.0	0.000664937828313	0.170007979254	0.0	0.00862756832236	3.32468914157e-05	0.0	0.171121750116	0.0525633353281	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.66234457078e-05	0.0	0.0	0.0	0.0	0.0105226411331	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
181	0.0527092740535	0.359847169156	0.0897012851685	0.000210886716618	0.0629434823599	0.0	0.0707835061777	0.00367190988935	0.00276633751799	4.96204039101e-05	0.000173671413685	0.278668188359	0.0	0.00187317024761	1.24051009775e-05	0.0	0.0662680494219	0.00896888800675	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.24051009775e-05	0.0	0.0	0.00129013050166	0.0	1.24051009775e-05	1.24051009775e-05	2.4810201955e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
182	0.091041340282	0.292994852447	0.0506602295617	0.000319723758673	0.0282635802666	1.59861879336e-05	0.0837356523963	0.00904818237043	0.00615468235445	0.0	0.000719378457013	0.227979026121	0.0	0.0141158039454	0.0	0.0	0.138776097452	0.0447293538383	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0114461105605	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
